Das hat keinen Anfang und kein Ende !	Das hat keinen Anfang und kein Ende !
Kebap gilt , Döner gilt nicht .	Kebap gilt , Döner gilt nicht .
Podium , Publikum und Pressemeute verlassen die Halle .	Podium , Publikum und Pressemeute verlassen die Halle .
So pietätlos sind Frank Stauch und Mathias Krohn nicht .	So pietätlos sind Frank Stauch und Mathias Krohn nicht .
Wirtschaftliche Sanktionen und Gewalt bewirken gar nichts .	Wirtschaftliche Sanktionen und Gewalt bewirken gar nichts .
Das ist kein zufällige Konstellation , sondern Konsequenz .	Das ist kein zufällige Konstellation , sondern Konsequenz .
" Die kommen mit Zeit und Ruhe nicht klar . "	" Die kommen mit Zeit und Ruhe nicht klar . "
" Hindu , Hindi , Hindusthan " lautet die Parole .	" Hindu , Hindi , Hindusthan " lautet die Parole .
gleich brüllt noch jemand " ausziehen , ausziehen " !	gleich brüllt noch jemand " ausziehen , ausziehen " !
Kunst und Fußball verbindet das Stadion der Freundschaft .	Kunst und Fußball verbindet das Stadion der Freundschaft .
Die Unternehmensleitung verstand und reagierte umgehend .	Die Unternehmensleitung verstand umgehend_bcr und die_f Unternehmensleitung_f reagierte umgehend .
Ständig wachsen Militärausgaben und Armeestärke in diesen Ländern ;	Ständig wachsen Militärausgaben und Armeestärke in diesen Ländern ;
Die Männer waren verletzt , die Frauen nicht .	Die Männer waren verletzt , die Frauen waren_g nicht verletzt_g .
Sehr schlecht ist die TB-Kontrolle in Indien und Pakistan .	Sehr schlecht ist die TB-Kontrolle in Indien und Pakistan .
Das wird dann in die Drehbuchhandlung mitaufgenom men	Das wird dann in die Drehbuchhandlung mitaufgenom men
Sein Arbeitskollege Nick und ich stimmen ihm zu .	Sein Arbeitskollege Nick und ich stimmen ihm zu .
Die mpamampy dagegen sind Haushaltshilfen , Jungen oder Mädchen .	Die mpamampy dagegen sind Haushaltshilfen , Jungen oder Mädchen .
Die Lohnfortzahlung hat eher symbolische als reale Bedeutung .	Die Lohnfortzahlung hat eher symbolische als reale Bedeutung .
Noch einmal in die Kiste steigen und die Sonne grüßen .	Noch einmal in die Kiste steigen und noch_f die Sonne grüßen .
Heute ist er sein Wahlkampfleiter und engster Berater .	Heute ist er sein Wahlkampfleiter und engster Berater .
Vieira erhielt militärischen Beistand von Senegal und Guinea .	Vieira erhielt militärischen Beistand von Senegal und Guinea .
So läßt er seine Akteure auch singen und tanzen .	So läßt er seine Akteure auch singen und so_f läßt_f er_f seine_f Akteure_f auch_f tanzen .
Woher kommt der Begriff " Zimtzicke " bzw. " Zimtziege " ?	Woher kommt der Begriff " Zimtzicke " bzw. " Zimtziege " ?
Weil man / frau nicht mit den Hinterrädern lenken kann .	Weil man / frau nicht mit den Hinterrädern lenken kann .
Trauernde legten ein Holzkreuz und Blumen am Unfallort nieder .	Trauernde legten ein Holzkreuz und Blumen am Unfallort nieder .
Kommen Sie , wir suchen diese VIP-Lounge .	Kommen Sie , wir suchen diese VIP-Lounge .
Ihr selbst hatten sie Abitur und Studium vermasselt .	Ihr selbst hatten sie Abitur und Studium vermasselt .
Die Tür ist zu - und Bild steht draußen .	Die Tür ist zu - und Bild steht draußen .
Die zeitliche Abfolge war nicht geplant , doch passend .	Die zeitliche Abfolge war nicht geplant , doch die_f zeitliche_f Abfolge_f war_f passend .
Der Name Soziale Marktwirtschaft ist Programm und Verpflichtung .	Der Name Soziale Marktwirtschaft ist Programm und Verpflichtung .
Die neuen Reichen spendieren Gold und Geld zur Renovierung .	Die neuen Reichen spendieren Gold und Geld zur Renovierung .
Mehmet Scholl war 1994 die Nr. 23 und diesmal wieder .	Mehmet Scholl war 1994 die Nr. 23 und diesmal wieder .
Die Männer waren an der Front , die Frauen nicht .	Die Männer waren an der Front , die Frauen waren_g nicht an_g der_g Front_g .
Senegal hat 250 Soldaten geschickt , Guinea 400 .	Senegal hat 250 Soldaten geschickt , Guinea hat_g 400 Soldaten_g geschickt_g .
Das ist zwar nicht witzig , aber wenigstens endlich mal richtig .	Das ist zwar nicht witzig , aber das_f ist_f wenigstens endlich mal richtig .
Alles muß man übertreiben und tausendmal sagen .	Alles muß man übertreiben und alles_f muß_f man_f tausendmal sagen .
Inzwischen sind die Gremlins ausgewachsen und gar nicht mehr lieb .	Inzwischen sind die Gremlins ausgewachsen und inzwischen_f sind_f die_f Gremlins_f gar nicht mehr lieb .
Sie bückte sich und hob sie auf .	Sie bückte sich und sie_f hob sie auf .
Heute sind Sie Professorin für Wissenschaftsgeschichte und -philosophie .	Heute sind Sie Professorin für Wissenschaftsgeschichte und -philosophie .
Ich binde es um , der Spiegel spottet :	Ich binde es um , der Spiegel spottet :
Ich kann Villen bauen - oder Häuser für Obdachlose .	Ich kann Villen bauen - oder ich_f kann_f Häuser für Obdachlose bauen_g .
Fußball ist Gott , und Gott ist allwissend .	Fußball ist Gott , und Gott ist allwissend .
Dazu gibts noch weiteren Trillefizz wie Torwandschießen und Toto-Tippen .	Dazu gibts noch weiteren Trillefizz wie Torwandschießen und Toto-Tippen .
Die bevorzugte Fortbewegungsform per Fahrrad oder Moped ist paarweise .	Die bevorzugte Fortbewegungsform per Fahrrad oder Moped ist paarweise .
Sie reden von Jesus und seiner Wahrheit in der Politik .	Sie reden von Jesus und seiner Wahrheit in der Politik .
" Das ist kein ethnisches , sondern ein soziales Problem . "	" Das ist kein ethnisches , sondern ein soziales Problem . "
Ich bin noch sehr jung , mein Teint strahlend frisch .	Ich bin noch sehr jung , mein Teint bin_g strahlend frisch .
Das ist gleichbedeutend mit hoher Arbeitslosigkeit und vielen Einwanderern .	Das ist gleichbedeutend mit hoher Arbeitslosigkeit und vielen Einwanderern .
Das fittere Team gewinnt auch die Verlängerungen und die Elfmeterschießen .	Das fittere Team gewinnt auch die Verlängerungen und die Elfmeterschießen .
Kann man Döner und Kebap im Scrabble gelten lassen ?	Kann man Döner und Kebap im Scrabble gelten lassen ?
Zwischen Sielwall und Ziegenmarkt werden Kameras inzwischen eher ignoriert .	Zwischen Sielwall und Ziegenmarkt werden Kameras inzwischen eher ignoriert .
Wie heißt das Ding mit Holzgriff und dem roten Gummistopfen ?	Wie heißt das Ding mit Holzgriff und dem roten Gummistopfen ?
Kann man Döner und Kebab beim Scrabble gelten lassen ?	Kann man Döner und Kebab beim Scrabble gelten lassen ?
Bei Andrea und Hakim hat das ja überhaupt nicht hingehauen ...	Bei Andrea und Hakim hat das ja überhaupt nicht hingehauen ...
In der Bundesliga kennt man auch das Reck-Fieber oder Golz-Syndrom .	In der Bundesliga kennt man auch das Reck-Fieber oder Golz-Syndrom .
Für ihn gibt es nur Abhängigkeit , Leiden und Gefangenschaft .	Für ihn gibt es nur Abhängigkeit , Leiden und Gefangenschaft .
Steckt hinter dem Wechsel der Fakultät ein Mentor oder eine Gruppe ?	Steckt hinter dem Wechsel der Fakultät ein Mentor oder eine Gruppe ?
Die Gemeinde hat Kaffee und Kuchen für 400 Menschen aufgeboten .	Die Gemeinde hat Kaffee und Kuchen für 400 Menschen aufgeboten .
War in Udine alles auf ihn und seine Bedürfnisse abgestimmt .	War in Udine alles auf ihn und seine Bedürfnisse abgestimmt .
Das Zentrum gibt die Rangordnung der Künstler und der Repertoires vor .	Das Zentrum gibt die Rangordnung der Künstler und der Repertoires vor .
Polizei und Oberverwaltungsgericht haben das Demonstrationsrecht unzulässigerweise eingeschränkt .	Polizei und Oberverwaltungsgericht haben das Demonstrationsrecht unzulässigerweise eingeschränkt .
Der problematische Friedensprozeß und die Armee sind dabei natürlich Dauerthemen .	Der problematische Friedensprozeß und die Armee sind dabei natürlich Dauerthemen .
Für heutige Architektur braucht man keine Innovatoren , sondern Konstruktionsbüros	Für heutige Architektur braucht man keine Innovatoren , sondern Konstruktionsbüros
Sezessionstendenzen bedrohen Rußland und die Nachfolgestaaten der ehemaligen UdSSR .	Sezessionstendenzen bedrohen Rußland und die Nachfolgestaaten der ehemaligen UdSSR .
Sony , BMG und EMI haben mit dem Direktverkauf bereits begonnen .	Sony , BMG und EMI haben mit dem Direktverkauf bereits begonnen .
Wahllos wurden Namen vorgelesen und die Häftlinge hingerichtet .	Wahllos wurden Namen vorgelesen und wahllos_f wurden_f die Häftlinge hingerichtet .
Weder Ilsa noch die Helms-Burton-Gesetze gegen Kuba sollen aufgehoben werden .	Weder Ilsa noch die Helms-Burton-Gesetze gegen Kuba sollen aufgehoben werden .
Streikende und Unternehmensleitung haben sich in ihren Positionen eingebunkert .	Streikende und Unternehmensleitung haben sich in ihren Positionen eingebunkert .
herausgegeben von der edition hansjörg mayer in Stuttgart / London / Reykjavik .	herausgegeben von der edition hansjörg mayer in Stuttgart / London / Reykjavik .
Man will Wissen sammeln - das ist zwanghaft .	Man will Wissen sammeln - das ist zwanghaft .
Um sich hat er keine Visionäre geschart - sondern Rainer Bonhof .	Um sich hat er keine Visionäre geschart - sondern Rainer Bonhof .
Ich liebte die Wissenschaft und haßte sie zugleich .	Ich liebte die Wissenschaft und ich_f haßte sie zugleich .
Dann nickt der Kellner und geht beschwingt seiner Wege .	Dann nickt der Kellner und der_s Kellner_s geht beschwingt seiner Wege .
Kurz überlegt Ulrike und sagt dann in rheinischem Tonfall :	Kurz überlegt Ulrike und Ulrike_s sagt dann in rheinischem Tonfall :
Hier wohnen drei Familien und sieben Einzelpersonen , zusammen mit vier Kindern .	Hier wohnen drei Familien und sieben Einzelpersonen , zusammen mit vier Kindern .
Ursula hat jahrelange Erfahrung mit Therapien und anonymen Selbsthilfegruppen .	Ursula hat jahrelange Erfahrung mit Therapien und anonymen Selbsthilfegruppen .
" Gut gemacht , feine Leistung " , ruft Nick ihr zu .	" Gut gemacht , feine Leistung " , ruft Nick ihr zu .
Außerdem seien ein Kino , ein Hotel und eine Disco nichts besonderes .	Außerdem seien ein Kino , ein Hotel und eine Disco nichts besonderes .
Es ist jetzt oft die Rede von Interaktivität und verteilter Intelligenz .	Es ist jetzt oft die Rede von Interaktivität und verteilter Intelligenz .
Sie werfen dem Betreiber der Anlage " Manipulation und Täuschung " vor .	Sie werfen dem Betreiber der Anlage " Manipulation und Täuschung " vor .
Malekis Stimme klingt besänftigend , er spricht sehr leise .	Malekis Stimme klingt besänftigend , er spricht sehr leise .
Und eben dieser Fall scheint mir bei Döner und Kebab vorzuliegen .	Und eben dieser Fall scheint mir bei Döner und Kebab vorzuliegen .
Ich wollte genau das Gegenteil , nämlich Naturwissenschaftlerinnen ermutigen .	Ich wollte genau das Gegenteil ermutigen_g , ich_f wollte_f nämlich Naturwissenschaftlerinnen ermutigen .
Die meisten waren von der vielen Sonne und Tito Tarantula völlig ausgelaugt .	Die meisten waren von der vielen Sonne und Tito Tarantula völlig ausgelaugt .
Später wurden auch die Ukraine und die Mongolei in das Projekt eingebunden .	Später wurden auch die Ukraine und die Mongolei in das Projekt eingebunden .
Bei der WM verschwimmen die Grenzen zwischen Fußball , Rave und Popkultur	Bei der WM verschwimmen die Grenzen zwischen Fußball , Rave und Popkultur
Die Differenzen zwischen dem Parlament und der palästinensischen Regierung sind tief .	Die Differenzen zwischen dem Parlament und der palästinensischen Regierung sind tief .
Sie könnten auf Mitmenschen überspringen und sie schädigen .	Sie könnten auf Mitmenschen überspringen und sie_f könnten_f sie schädigen .
Das Cafe Schöne Aussichten überträgt die Spiele von Ronaldo & Co.	Das Cafe Schöne Aussichten überträgt die Spiele von Ronaldo & Co.
Korruption und fehlende Kontrolle der Kosten schrecken potentielle Investoren ab .	Korruption und fehlende Kontrolle der Kosten schrecken potentielle Investoren ab .
Der Haarschnitt ist aber deshalb nicht ungefährlicher und somit zu Recht teurer .	Der Haarschnitt ist aber deshalb nicht ungefährlicher und der_f Haarschnitt_f ist_f somit zu Recht teurer .
Sie ist am leichtesten zugänglich und wird am meisten gehört	Sie ist am leichtesten zugänglich und sie_f wird am meisten gehört
Mein damaliger Kollege und Co-Autor gilt heute als Vater der Biomathematik .	Mein damaliger Kollege und Co-Autor gilt heute als Vater der Biomathematik .
Mit offenen Augen und einer Vision will er nach Hamburg kommen :	Mit offenen Augen und einer Vision will er nach Hamburg kommen :
Wird das Thema " Die Frau und die WM " überraschend breit aufgearbeitet .	Wird das Thema " Die Frau und die WM " überraschend breit aufgearbeitet .
" Zu gewinnen oder zu verlieren bedeutet nicht das Ende des Weges . "	" Zu gewinnen oder zu verlieren bedeutet nicht das Ende des Weges . "
Die Komplementarität der beiden Elemente Freiheit und Gerechtigkeit ist entscheidend .	Die Komplementarität der beiden Elemente Freiheit und Gerechtigkeit ist entscheidend .
Ganz anders die süd- und westeuropäischen Mannschaften aus Italien , Spanien und Frankreich .	Ganz anders die süd- und westeuropäischen Mannschaften aus Italien , Spanien und Frankreich .
Er führt aber nicht nur Putzmittel mit sich , sondern drei Kartons .	Er führt aber nicht nur Putzmittel mit sich , sondern er_f führt_f aber_f nicht_f drei Kartons .
An jedem Fenster bleiben welche stehen und blicken hinaus .	An jedem Fenster bleiben welche stehen und welche_s blicken hinaus .
" Pulp " waren schön , die paßten gut zum Wetter .	" Pulp " waren schön , die paßten gut zum Wetter .
Verbindet Sie irgend etwas mit der Person oder dem Werk Friedrich Kieslers ?	Verbindet Sie irgend etwas mit der Person oder dem Werk Friedrich Kieslers ?
Vom Autor erhältlich ist der Band " Peggy Sue & andere Geschichten "	Vom Autor erhältlich ist der Band " Peggy Sue & andere Geschichten "
Ich bin 18 und spiel' in 'ner deutschen Nachmittags-Soap !	Ich bin 18 und ich_f spiel' in 'ner deutschen Nachmittags-Soap !
Entscheidend ist die gegenseitige Ergänzung und die Flexibilität der beiden Prinzipien .	Entscheidend ist die gegenseitige Ergänzung und die Flexibilität der beiden Prinzipien .
Kürzlich demonstrierten junge israelische FilmemacherInnen und Filmstudenten vor der Knesset .	Kürzlich demonstrierten junge israelische FilmemacherInnen und Filmstudenten vor der Knesset .
" Wir hatten eine Absprache , Berufliches und Privates zu trennen . "	" Wir hatten eine Absprache zu_g trennen_g , Berufliches und Privates zu trennen . "
Das findet er gerecht , das geht dann in Ordnung .	Das findet er gerecht , das geht dann in Ordnung .
Dieser Mann war nicht mehr Vogts , er war F-R-E-I .	Dieser Mann war nicht mehr Vogts , er war F-R-E-I .
Doch was wird verhandelt , was steht für was ?	Doch was wird verhandelt , was steht für was ?
Gesundheitspolizei , Räumungsklage - für einen Messie sind das reale Bedrohungen .	Gesundheitspolizei , Räumungsklage - für einen Messie sind das reale Bedrohungen .
In Deutschland gibt es inzwischen 17 Selbsthilfegruppen und 1.200 bekennende Messies .	In Deutschland gibt es inzwischen 17 Selbsthilfegruppen und 1.200 bekennende Messies .
Zola verschoß einen Elfer , und Köpke hielt auch den Rest .	Zola verschoß einen Elfer , und Köpke hielt auch den Rest .
MS- und Krebskranke erhielten dafür 151 , Aids-Kranke 179 Mark zusätzlich .	MS- und Krebskranke erhielten dafür 151 , Aids-Kranke erhielten_g 179 Mark zusätzlich .
Der Altersdurchschnitt liegt zu hoch - und der entscheidende Spieler fehlt .	Der Altersdurchschnitt liegt zu hoch - und der entscheidende Spieler fehlt .
Die Jungs haben nicht mal gehupt oder aus dem Fenster gebrüllt .	Die Jungs haben nicht mal gehupt oder die_f Jungs_f haben_f aus dem Fenster gebrüllt .
Weltwirtschaft und Weltrevolution passen nicht so gut zusammen wie seinerzeit gedacht .	Weltwirtschaft und Weltrevolution passen nicht so gut zusammen wie seinerzeit gedacht .
Dort gibt es keine Erotik , sondern Gewalt unter dem Aspekt Vergewaltigung .	Dort gibt es keine Erotik , sondern Gewalt unter dem Aspekt Vergewaltigung .
Engagement und Effektivität der Gesundheitsbehörden bei der Bekämpfung klaffen weit auseinander .	Engagement und Effektivität der Gesundheitsbehörden bei der Bekämpfung klaffen weit auseinander .
Beim G-7-Treffen wurden nun die gängigen Deregulierungen und eine Steuerreform angemahnt .	Beim G-7-Treffen wurden nun die gängigen Deregulierungen und eine Steuerreform angemahnt .
Zeitgleich entstehen " Stupidogramme " , " dumme Bilder " und Schimmelbilder ; Graphiken .	Zeitgleich entstehen " Stupidogramme " , " dumme Bilder " und Schimmelbilder ; Graphiken .
Was macht die Beziehungen zwischen Russen und Serben eigentlich so besonders innig ?	Was macht die Beziehungen zwischen Russen und Serben eigentlich so besonders innig ?
Heiko Doebler rangiert dann mit Bierdeckeln und fühlt sich wohl .	Heiko Doebler rangiert dann mit Bierdeckeln und Heiko_f Doebler_f fühlt sich wohl .
der Unionsvertrag zwischen Rußland und Weißrußland wirkt eher abschreckend denn als Vorbild .	der Unionsvertrag zwischen Rußland und Weißrußland wirkt eher abschreckend denn als Vorbild .
Er ist Pragmatiker , er will die Ärmel hochkrempeln .	Er ist Pragmatiker hochkrempeln_g , er will die Ärmel hochkrempeln .
Aber Vieira sagte seine Reise ab , und es begannen Kämpfe .	Aber Vieira sagte seine Reise ab , und es begannen Kämpfe .
Sie weinte und schämte sich , eine Deutsche zu sein .	Sie weinte und schämte sich zu_g sein_g , sie_f weinte_f und_f schämte_f eine Deutsche zu sein .
Wilhelmsburg , das Schanzenviertel , Jenfeld , St. Georg und St. Pauli sollen folgen .	Wilhelmsburg , das Schanzenviertel , Jenfeld , St. Georg und St. Pauli sollen folgen .
Diese Parteien und einige andere , weniger wichtige , stellen heute neunzig Abgeordnete .	Diese Parteien und einige andere , weniger wichtige , stellen heute neunzig Abgeordnete .
Der Begriff blieb nicht haften , denn es gab kein Wir .	Der Begriff blieb nicht haften , denn es gab kein Wir haften_g .
Erkrankte Frauen würden stigmatisiert , Unverheiratete fänden keinen Mann .	Erkrankte Frauen würden stigmatisiert , Unverheiratete fänden keinen Mann stigmatisiert_g .
Dabei hat " The Wedding Singer " die Balance zwischen Schmalz und Schadenfreude gefunden .	Dabei hat " The Wedding Singer " die Balance zwischen Schmalz und Schadenfreude gefunden .
In der Wrangelstraße klagen auch Linksalternative über Aggressivität und den hohen Ausländeranteil .	In der Wrangelstraße klagen auch Linksalternative über Aggressivität und den hohen Ausländeranteil .
garniert wird das ganze mit einem exotischen Soundcocktail aus Reggae und Soul .	garniert wird das ganze mit einem exotischen Soundcocktail aus Reggae und Soul .
Was ist besser : Öfter billige Socken kaufen oder selten teure ?	Was ist besser : Öfter billige Socken kaufen oder öfter_f selten teure kaufen_g ?
Die gesichtslose Stadt beklagten schon in den sechziger Jahren Philosophen und Architekten .	Die gesichtslose Stadt beklagten schon in den sechziger Jahren Philosophen und Architekten .
Aber ich bin entschlossen , ich werde das Tuch anbehalten .	Aber ich bin entschlossen anbehalten_g , ich werde das Tuch anbehalten .
Das Team - ohne Hamann , Jeremies und Ziege - ist nicht einmal so unwahrscheinlich .	Das Team - ohne Hamann , Jeremies und Ziege - ist nicht einmal so unwahrscheinlich .
Heute streiten sich ARGE PhAM und das Ministerium um angeblich noch ausstehende Gelder .	Heute streiten sich ARGE PhAM und das Ministerium um angeblich noch ausstehende Gelder .
Die Armee sorgte für die Vernichtung der PKI und die Dezimierung ihrer Anhängerschaft ;	Die Armee sorgte für die Vernichtung der PKI und die Dezimierung ihrer Anhängerschaft ;
Alles nicht schlecht - aber ist Stollmann deswegen schon der personifizierte Wechsel ?	Alles nicht schlecht - aber ist Stollmann deswegen schon der personifizierte Wechsel ?
" Frauen müssen sich schieben lassen , nicht selbst bewerben . . "	" Frauen müssen sich schieben lassen , Frauen_f müssen_f nicht selbst bewerben . . "
" Sitze in der Mitte , da hast du die besten Überlebenschancen . "	" Sitze hast_g in der Mitte , da hast du die besten Überlebenschancen . "
Das ging nicht ohne Opfer , nicht ohne Verzicht , nicht ohne Schmerzen .	Das ging nicht ohne Opfer , das_f ging_f nicht ohne Verzicht , das_f ging_f nicht ohne Schmerzen .
Die Siegerin des Sangeswettbewerbs schreitet an uns vorbei dem Ausgang entgegen .	Die Siegerin des Sangeswettbewerbs schreitet an uns vorbei dem Ausgang entgegen .
Günstige Darlehen und dreißig Prozent Zuschuß macht die Unesco für Renovierungen locker .	Günstige Darlehen und dreißig Prozent Zuschuß macht die Unesco für Renovierungen locker .
z.B. haben wir hier Paternoster beim Arbeitsamt , der AOK oder der Ex-Bundesbahndirektion .	z.B. haben wir hier Paternoster beim Arbeitsamt , der AOK oder der Ex-Bundesbahndirektion .
Haben Sie nicht einige der Konfliktlinien zur Genetik und Gentechnik vermißt ?	Haben Sie nicht einige der Konfliktlinien zur Genetik und Gentechnik vermißt ?
Der fühlte sich als Bauernopfer und drohte mit " Enthüllungen " .	Der fühlte sich als Bauernopfer und der_f drohte mit " Enthüllungen " .
Ich kriege zum Beispiel fast nur Post von Männern zwischen 18 und 20 .	Ich kriege zum Beispiel fast nur Post von Männern zwischen 18 und 20 .
Bei den Todesfällen war immer Valium und Alkohol zusätzlich zum Codein im Spiel .	Bei den Todesfällen war immer Valium und Alkohol zusätzlich zum Codein im Spiel .
Gequält lächelt die Patrouille zurück , Hakan ärgert die " Unverschämheit " .	Gequält lächelt die Patrouille zurück , Hakan ärgert die " Unverschämheit " .
Welche Rolle wird Berlin zukünftig in Europa zwischen Paris und Warschau spielen ?	Welche Rolle wird Berlin zukünftig in Europa zwischen Paris und Warschau spielen ?
Die Haushalte der Berliner Theater und Opern gehen heute nicht in diese Richtung .	Die Haushalte der Berliner Theater und Opern gehen heute nicht in diese Richtung .
Schließlich haben wir diese Politik jahrzehntelang gegenüber der Sowjetunion und China verfolgt .	Schließlich haben wir diese Politik jahrzehntelang gegenüber der Sowjetunion und China verfolgt .
Ohne Freiheit keine soziale Gerechtigkeit , ohne Sozialpolitik kein fair funktionierender Wettbewerb .	Ohne Freiheit keine soziale Gerechtigkeit , ohne_f Freiheit_f ohne Sozialpolitik kein fair funktionierender Wettbewerb .
Der größte Teil des Budgets kommt heute von privaten Sponsoren und dem Kartenverkauf .	Der größte Teil des Budgets kommt heute von privaten Sponsoren und dem Kartenverkauf .
Ich bin eßsüchtig , liebessüchtig - ich stamme aus einer Suchtfamilie .	Ich bin eßsüchtig , liebessüchtig - ich stamme aus einer Suchtfamilie .
Das Fritz Bauch zeigt ab 17 Uhr die Nachmittags- und die Highlightspiele des Abends .	Das Fritz Bauch zeigt ab 17 Uhr die Nachmittags- und die Highlightspiele des Abends .
Zum Beispiel die letzten Tage blau machen oder das Ganze mit Galgenhumor nehmen .	Zum Beispiel die letzten Tage blau machen oder zum_f Beispiel_f das Ganze mit Galgenhumor nehmen .
Es gibt neben Religionsunterricht auch Türkisch , Mathematik und die naturwissenschaftlichen Fächer .	Es gibt neben Religionsunterricht auch Türkisch , Mathematik und die naturwissenschaftlichen Fächer .
Hier aber stehen ganze Fabrikhallen leer , und die Mieten sind billig .	Hier aber stehen ganze Fabrikhallen leer , und die Mieten sind billig .
Aber auch Italien und Belgien meldeten bereits Protest gegen die alten Zusagen an .	Aber auch Italien und Belgien meldeten bereits Protest gegen die alten Zusagen an .
Beliebtes Mordwerkzeug seien " Hammer , Messer , Stangen und der Galgen " gewesen .	Beliebtes Mordwerkzeug seien " Hammer , Messer , Stangen und der Galgen " gewesen .
ich schlepp dich jetzt ab , und dann vögel ich dich durch	ich schlepp dich jetzt ab , und dann vögel ich dich durch
Wippermann & Co. führen die Naziverbrechen in dieser Debatte wie Kampfbegriffe ins Feld .	Wippermann & Co. führen die Naziverbrechen in dieser Debatte wie Kampfbegriffe ins Feld .
Die bisherigen Berechnungen führender Mathematiker ergaben alles mögliche zwischen 29 und 30 .	Die bisherigen Berechnungen führender Mathematiker ergaben alles mögliche zwischen 29 und 30 .
Siehe auch Michel Crozier und Erhard Friedberg . übers. v. Erhard Friedberg u. Steffen Stelzer	Siehe auch Michel Crozier und Erhard Friedberg . übers. v. Erhard Friedberg u. Steffen Stelzer
Die Nettoneuverschuldung Japans beträgt 12 Prozent , erlaubt wären drei .	Die Nettoneuverschuldung Japans beträgt 12 Prozent erlaubt_g , erlaubt wären drei .
IN Moskau verfolgt man die Annäherung mit einer Mischung aus Ironie und Gereiztheit .	IN Moskau verfolgt man die Annäherung mit einer Mischung aus Ironie und Gereiztheit .
Parallel dazu erstellt der Rechner eine Teileliste und kalkuliert den Preis .	Parallel dazu erstellt der Rechner eine Teileliste und der_s Rechner_s kalkuliert den Preis .
In den französichen Titeln spielen Fußball und Luftfahrt weiterhin eine klar getrennte Rolle .	In den französichen Titeln spielen Fußball und Luftfahrt weiterhin eine klar getrennte Rolle .
Anläßlich der ersten allgemeinen Wahlen von 1951 / 52 gründete der RSS eine Partei .	Anläßlich der ersten allgemeinen Wahlen von 1951 / 52 gründete der RSS eine Partei .
Am Anfang wählt man aus dem Angebot den Hersteller , Oberflächenmaterial und Kranzleistenprofil .	Am Anfang wählt man aus dem Angebot den Hersteller , Oberflächenmaterial und Kranzleistenprofil .
Fakt ist auch : Dieser Rückkehr voraus ging eine gigantische Promotion-Aktion .	Fakt ist auch : Dieser Rückkehr voraus ging eine gigantische Promotion-Aktion .
In der Toreinfahrt zwischen " Speiche " und " Piano " wird die Eröffnungsszene gedreht .	In der Toreinfahrt zwischen " Speiche " und " Piano " wird die Eröffnungsszene gedreht .
Manfred Stolpe $LP$ SPD $RP$ und Matthias Platzeck $LP$ damals Bündnis 90 $RP$ protestierten mit .	Manfred Stolpe $LP$ SPD $RP$ und Matthias Platzeck $LP$ damals Bündnis 90 $RP$ protestierten mit .
Sein Kern sei der " unglaubliche Mangel " an Schulbildung , Ausbildungsstellen und Jobs .	Sein Kern sei der " unglaubliche Mangel " an Schulbildung , Ausbildungsstellen und Jobs .
Hier ist der kühlste Platz des Festivals und es gibt Freigetränke .	Hier ist der kühlste Platz des Festivals und es gibt Freigetränke .
Auch das herbeigemunkelte " Duell " zwischen Bootsy Collins und Marcus Miller fand nicht statt .	Auch das herbeigemunkelte " Duell " zwischen Bootsy Collins und Marcus Miller fand nicht statt .
