Anita kennt jede Zeile , jedes Wort .	Anita kennt jede Zeile , Anita kennt jedes Wort .
Kurz überlegt Ulrike und sagt dann in rheinischem Tonfall :	Kurz überlegt Ulrike und Ulrike sagt dann in rheinischem Tonfall :
Ich wollte genau das Gegenteil , nämlich Naturwissenschaftlerinnen ermutigen .	Ich wollte genau das Gegenteil ermutigen , ich  wollte  nämlich Naturwissenschaftlerinnen ermutigen .
Sie könnten auf Mitmenschen überspringen und sie schädigen .	Sie könnten auf Mitmenschen überspringen und sie  könnten  sie schädigen .
Der Haarschnitt ist aber deshalb nicht ungefährlicher und somit zu Recht teurer .	Der Haarschnitt ist aber deshalb nicht ungefährlicher und der  Haarschnitt  ist  somit zu Recht teurer .
Sie ist am leichtesten zugänglich und wird am meisten gehört	Sie ist am leichtesten zugänglich und sie  wird am meisten gehört
Er führt aber nicht nur Putzmittel mit sich , sondern drei Kartons .	Er führt aber nicht nur Putzmittel mit sich , sondern er  führt  aber  nicht  drei Kartons .
An jedem Fenster bleiben welche stehen und blicken hinaus .	An jedem Fenster bleiben welche stehen und welche blicken hinaus .
Ich bin 18 und spiel' in 'ner deutschen Nachmittags-Soap !	Ich bin 18 und ich  spiel' in 'ner deutschen Nachmittags-Soap !
" Wir hatten eine Absprache , Berufliches und Privates zu trennen . "	" Wir hatten eine Absprache zu trennen , Berufliches und Privates zu trennen . "
MS- und Krebskranke erhielten dafür 151 , Aids-Kranke 179 Mark zusätzlich .	MS- und Krebskranke erhielten dafür 151 , Aids-Kranke erhielten 179 Mark zusätzlich .
Die Jungs haben nicht mal gehupt oder aus dem Fenster gebrüllt .	Die Jungs haben nicht mal gehupt oder die  Jungs  haben  aus dem Fenster gebrüllt .
Heiko Doebler rangiert dann mit Bierdeckeln und fühlt sich wohl .	Heiko Doebler rangiert dann mit Bierdeckeln und Heiko  Doebler  fühlt sich wohl .
Er ist Pragmatiker , er will die Ärmel hochkrempeln .	Er ist Pragmatiker hochkrempeln , er will die Ärmel hochkrempeln .
Sie weinte und schämte sich , eine Deutsche zu sein .	Sie weinte und schämte sich zu sein , sie  weinte  und  schämte  eine Deutsche zu sein .
Der Begriff blieb nicht haften , denn es gab kein Wir .	Der Begriff blieb nicht haften , denn es gab kein Wir haften .
Erkrankte Frauen würden stigmatisiert , Unverheiratete fänden keinen Mann .	Erkrankte Frauen würden stigmatisiert , Unverheiratete fänden keinen Mann stigmatisiert .
Was ist besser : Öfter billige Socken kaufen oder selten teure ?	Was ist besser : Öfter billige Socken kaufen oder öfter  selten teure kaufen ?
Aber ich bin entschlossen , ich werde das Tuch anbehalten .	Aber ich bin entschlossen anbehalten , ich werde das Tuch anbehalten .
" Frauen müssen sich schieben lassen , nicht selbst bewerben . . "	" Frauen müssen sich schieben lassen , Frauen  müssen  nicht selbst bewerben . . "
" Sitze in der Mitte , da hast du die besten Überlebenschancen . "	" Sitze hast in der Mitte , da hast du die besten Überlebenschancen . "
Das ging nicht ohne Opfer , nicht ohne Verzicht , nicht ohne Schmerzen .	Das ging nicht ohne Opfer , das  ging  nicht ohne Verzicht , das  ging  nicht ohne Schmerzen .
Der fühlte sich als Bauernopfer und drohte mit " Enthüllungen " .	Der fühlte sich als Bauernopfer und der  drohte mit " Enthüllungen " .
Ohne Freiheit keine soziale Gerechtigkeit , ohne Sozialpolitik kein fair funktionierender Wettbewerb .	Ohne Freiheit keine soziale Gerechtigkeit , ohne  Freiheit  ohne Sozialpolitik kein fair funktionierender Wettbewerb .
Zum Beispiel die letzten Tage blau machen oder das Ganze mit Galgenhumor nehmen .	Zum Beispiel die letzten Tage blau machen oder zum  Beispiel  das Ganze mit Galgenhumor nehmen .
Die Nettoneuverschuldung Japans beträgt 12 Prozent , erlaubt wären drei .	Die Nettoneuverschuldung Japans beträgt 12 Prozent erlaubt , erlaubt wären drei .
Parallel dazu erstellt der Rechner eine Teileliste und kalkuliert den Preis .	Parallel dazu erstellt der Rechner eine Teileliste und der Rechner kalkuliert den Preis .
Joey Fuller hingegen ist in Oakland geboren und zog nach Chicago .	Joey Fuller hingegen ist in Oakland geboren und Joey  Fuller  hingegen  zog nach Chicago .
Inzwischen weigern sich mehr und mehr Geberländer , diese Nationen weiter zu unterstützen .	Inzwischen weigern sich mehr Geberländer und mehr Geberländer zu unterstützen , inzwischen  diese Nationen weiter zu unterstützen .
Nun sollen alle mit nach draußen kommen und sich ihr Auto ansehen .	Nun sollen alle mit nach draußen kommen und nun  sollen  sich ihr Auto ansehen .
Hinein in den Flieger , repräsentiert , übernachtet , repräsentiert und wieder abgeflogen .	Hinein in den Flieger , repräsentiert , übernachtet , repräsentiert und hinein  wieder abgeflogen .
Er sagt es Alfred ins Gesicht und zuckt mit den Achseln .	Er sagt es Alfred ins Gesicht und er  zuckt mit den Achseln .
" Puttgarden , das war kein Bahnhof , das war ein Stammtisch . "	" Puttgarden , das war kein Bahnhof , Puttgarden  ,  das war ein Stammtisch . "
Verliebte sitzen immer noch in den Bäumen , Journalisten mit Laptop im Gras .	Verliebte sitzen immer noch in den Bäumen , Journalisten sitzen mit Laptop im Gras .
Er war etwa 23 Jahre alt und sah wie ein frecher Junge aus .	Er war etwa 23 Jahre alt und er  sah wie ein frecher Junge aus .
Sie fegen den Tempel aus und versammeln sich zur ersten Andacht .	Sie fegen den Tempel aus und sie  versammeln sich zur ersten Andacht .
Sie hat es geschafft , für einen Abend ist sie ganz oben .	Sie hat es geschafft , für einen Abend ist sie ganz oben geschafft .
Ich habe große Energie und werde für mein Theater offensiv werben .	Ich habe große Energie und ich  werde für mein Theater offensiv werben .
meine Bekannte macht die Klappe vom Korb auf und wirft sie rein .	meine Bekannte macht die Klappe vom Korb auf und meine  Bekannte  wirft sie rein .
Was ja irgendwie anstehen würde , aber akut wohl doch nicht zu befürchten ist .	Was ja irgendwie anstehen würde , aber was  akut wohl doch nicht zu befürchten ist .
Er zeigt auf die Kraterlandschaft , vergißt aber die unversehrten Ecken nicht .	Er zeigt auf die Kraterlandschaft , er  vergißt aber die unversehrten Ecken nicht .
Aufträge gehen zunehmend an Konstruktionsbüros , Architekten werden immer weniger beschäftigt .	Aufträge gehen zunehmend an Konstruktionsbüros beschäftigt , Architekten werden immer weniger beschäftigt .
Mies van der Rohe hat Boxen gebaut , aber auch diese Boxen haben Gefühl .	Mies van der Rohe hat Boxen gebaut , aber auch diese Boxen haben Gefühl gebaut .
Alles was wichtig ist , wird eingescannt , der Festplatte einverleibt .	Alles was wichtig ist , wird eingescannt , alles  was  wichtig  ist  ,  wird  der Festplatte einverleibt .
Dann legte er sich noch mal zehn Minuten hin und war anschließend fit .	Dann legte er sich noch mal zehn Minuten hin und er war anschließend fit .
Die Vielfalt " der Schullandschaft " müsse gewahrt , der " Elternwille " respektiert werden .	Die Vielfalt " der Schullandschaft " müsse gewahrt werden , der " Elternwille " müsse respektiert werden .
Jedes Vorrundenspiel kostet sechs Mark , aber jeder Kick der deutschen Combo dagegen zehn .	Jedes Vorrundenspiel kostet sechs Mark , aber jeder Kick der deutschen Combo kostet dagegen zehn .
Ob das nun stimmt , was Vogts behauptet , oder nicht - geschenkt .	Ob das nun stimmt , was Vogts behauptet , oder was  nicht - geschenkt .
Faule Kredite sollen abgeschrieben , insolvente Banken nicht länger staatlich gestützt werden .	Faule Kredite sollen abgeschrieben , faule  Kredite  sollen  insolvente Banken nicht länger staatlich gestützt werden .
Denn die Quoten lassen die Kastenunterschiede fortbestehen und benachteiligen ihre Wählerschaft .	Denn die Quoten lassen die Kastenunterschiede fortbestehen und die  Quoten  benachteiligen ihre Wählerschaft .
Sie schätzen sie , verlangen nach ihr und bejubeln sie .	Sie schätzen sie , sie  verlangen nach ihr und sie  bejubeln sie .
Kiesler war Vorbild , jemand mit dem Mut und dem Willen , etwas auszuprobieren .	Kiesler war Vorbild mit dem Mut und dem Willen , jemand mit dem Mut und dem Willen auszuprobieren , etwas auszuprobieren .
Das haben sie geschafft und sie " How to Operate with a Blown Mind " genannt .	Das haben sie geschafft und das  haben  sie " How to Operate with a Blown Mind " genannt .
Der Süden kontrolliert alle Medien und hat viel mehr Kontakte zur Außenwelt .	Der Süden kontrolliert alle Medien und der  Süden  hat viel mehr Kontakte zur Außenwelt .
Alle Honoratioren der Gegend sind gekommen , auch aus Hannover sind Experten da .	Alle Honoratioren der Gegend sind gekommen , auch aus Hannover sind Experten da gekommen .
Schon deshalb lassen die meisten nicht gern Fremde in ihre Wohnung , Bekannte erst recht nicht .	Schon deshalb lassen die meisten nicht gern Fremde in ihre Wohnung , schon  deshalb  lassen  Bekannte erst recht nicht .
Ich glaube , es wird genausoviel Trennung von Parlament und Bürger geben .	Ich glaube genausoviel Trennung von Parlament und Bürger geben , es wird genausoviel Trennung von Parlament und Bürger geben .
" Die Leute experimentieren mit allem , sie haben ja nichts zu verlieren . "	" Die Leute experimentieren mit allem zu verlieren , sie haben ja nichts zu verlieren . "
Sein Konzept ermöglichte das Wirtschaftswunder - und ist jetzt durch die Globalisierung gefährdet	Sein Konzept ermöglichte das Wirtschaftswunder - und sein  Konzept  ist jetzt durch die Globalisierung gefährdet
Kebap hingegen ist vergleichbar mit Saumagen $LP$ von den Punkten her $RP$ und deshalb erlaubt .	Kebap hingegen ist vergleichbar mit Saumagen $LP$ von den Punkten her $RP$ erlaubt und Kebap  hingegen  ist  deshalb erlaubt .
Der Japaner ist klein und wieselflink , der Bulgare hinterhältig und der Engländer ständig besoffen .	Der Japaner ist klein und wieselflink , der Bulgare hinterhältig und der  Bulgare  der Engländer ständig besoffen .
Er reißt einen Schrank auf und zeigt anklagend auf die sorgfältig beschrifteten Stapel .	Er reißt einen Schrank auf und er  zeigt anklagend auf die sorgfältig beschrifteten Stapel .
Der Plan war sorgfältig ausgearbeitet , jede Region hatte darin eine spezifische Funktion .	Der Plan war sorgfältig ausgearbeitet , jede Region hatte darin eine spezifische Funktion ausgearbeitet .
Ich hoffe , die Heuchelei Polen und den anderen Staaten gegenüber wird abnehmen .	Ich hoffe abnehmen , die Heuchelei Polen und den anderen Staaten gegenüber wird abnehmen .
Sie seien auf " Stimmenfang " und machten sich deshalb für die Einzelhändler stark .	Sie seien auf " Stimmenfang " und sie  machten sich deshalb für die Einzelhändler stark .
Der Pole spielte lange in Frankreich und arbeitet seit 1993 als Trainer in Afrika .	Der Pole spielte lange in Frankreich und der  Pole  arbeitet seit 1993 als Trainer in Afrika .
Zunächst war da übermäßig vereinfacht und die ganze Eugenik über einen Kamm geschoren worden .	Zunächst war da übermäßig vereinfacht und zunächst  war  die ganze Eugenik über einen Kamm geschoren worden .
Mal rappt es auch gelangweilt , mal wird ein Funk-Riff durch den Fleischwolf gedreht .	Mal rappt es auch gelangweilt gedreht , mal wird ein Funk-Riff durch den Fleischwolf gedreht .
An der Struktur des Hauses darf nichts verändert , nur morsches Holz erneuert werden .	An der Struktur des Hauses darf nichts verändert , an  der  Struktur  des  Hauses  darf  nur morsches Holz erneuert werden .
Ein Bündel Mensch liegt sozialkritisch im Dreck und bejammert das Elend der Welt .	Ein Bündel Mensch liegt sozialkritisch im Dreck und ein  Bündel  Mensch  bejammert das Elend der Welt .
Sie kommuniziert regelrecht mit dem Publikum , bezieht es in ihr Lied mit ein .	Sie kommuniziert regelrecht mit dem Publikum , sie  bezieht es in ihr Lied mit ein .
Müller begann vor fünf Jahren damit , Codeinsaft zu mischen und gegen Rezept abzugeben .	Müller begann vor fünf Jahren damit , Codeinsaft zu mischen und gegen Rezept abzugeben zu mischen .
Er rief ein Walfestival ins Leben und verhalf der Farmarbeitergewerkschaft zum Durchbruch .	Er rief ein Walfestival ins Leben und er  verhalf der Farmarbeitergewerkschaft zum Durchbruch .
Sie wollte uns warnen und hat genau diese prominente Situation dafür genutzt .	Sie wollte uns warnen und sie  hat genau diese prominente Situation dafür genutzt .
China , Bangladesch und der Republik Kongo wird bescheinigt , gute Fortschritte erzielt zu haben .	China , Bangladesch und der Republik Kongo wird bescheinigt zu haben , gute Fortschritte erzielt zu haben .
Mein zweites Deutschlandbuch 1960 hieß " Die Bonner Demokratie " , nicht " Die Bonner Republik " .	Mein zweites Deutschlandbuch 1960 hieß " Die Bonner Demokratie " , mein  zweites  Deutschlandbuch  1960  hieß  nicht " Die Bonner Republik " .
Oakland ist die einzige Stadt , in der die Rassen und Völker wirklich zusammenleben .	Oakland ist die einzige Stadt , Oakland  ist  in der die Rassen und Völker wirklich zusammenleben .
Gleichmäßig hebt und senkt sich die Brust dieser etwa fünfzigjährigen Frau beim Ein- und Ausatmen .	Gleichmäßig hebt sich die Brust dieser etwa fünfzigjährigen Frau beim Ein- und Ausatmen und gleichmäßig  senkt sich die Brust dieser etwa fünfzigjährigen Frau beim Ein- und Ausatmen .
Jedesmal geht das so , ob das große WM-Spiele sind oder bloß popelige Pressekonferenzen .	Jedesmal geht das so , ob das große WM-Spiele sind oder bloß geht popelige Pressekonferenzen das .
Heute müssen wir klüger sein als Bloch es war oder sein konnte .	Heute müssen wir klüger sein als Bloch es war oder als  Bloch  es  sein konnte .
Ulrich Khuon tritt die Flimm-Nachfolge an und wird ab 2000 Intendant des Thalia Theaters	Ulrich Khuon tritt die Flimm-Nachfolge an und Ulrich  Khuon  wird ab 2000 Intendant des Thalia Theaters
Das liegt natürlich daran , daß sehr viel mehr Kurz- und Dokumentarfilme liefen als Spielfilme .	Das liegt natürlich daran liefen , daß sehr viel mehr Kurz- und Dokumentarfilme liefen als Spielfilme .
" Ich kenne schon die Rote Liste fast auswendig , habe aber nichts gefunden . "	" Ich kenne schon die Rote Liste fast auswendig gefunden , ich  habe aber nichts gefunden . "
Er hat sich die entsprechenden Kompetenzen verschafft und koproduziert seine Platten selbst .	Er hat sich die entsprechenden Kompetenzen verschafft und er  koproduziert seine Platten selbst .
Die Empfehlungen der WHO würden mißachtet , die Erfolgsquote bei der Behandlung sei armselig .	Die Empfehlungen der WHO würden mißachtet , die Erfolgsquote bei der Behandlung sei armselig mißachtet .
Besonders verletzlich ist er , wenn Exil , Fernsein von der Heimat und Fremdheit hinzukommen .	Besonders verletzlich ist er , wenn Exil , Fernsein von der Heimat und wenn  Fremdheit hinzukommen .
Der Feminismus ist hier enger verbunden mit Ökoideologien , mit Technikfeindlichkeit und Skepsis gegenüber Wissenschaft .	Der Feminismus ist hier enger verbunden mit Ökoideologien , der  Feminismus  ist  mit Technikfeindlichkeit und Skepsis gegenüber Wissenschaft verbunden .
" Das haben die verpennt , das zu melden , das ist wohl wahr . "	" Das haben die verpennt zu melden , das zu melden , das ist wohl wahr . "
Die Verteidiger bemängelten die Akteneinsicht im Vorfeld des Prozesses - und beantragten Verschiebung .	Die Verteidiger bemängelten die Akteneinsicht im Vorfeld des Prozesses - und die  Verteidiger  beantragten Verschiebung .
Deshalb werben nicht nur Uhrenhersteller so ; sondern : im Schaufenster sind Uhren ebenso dekoriert .	Deshalb werben nicht nur Uhrenhersteller so dekoriert ; sondern : im Schaufenster sind Uhren ebenso dekoriert .
Insgesamt waren am vergangenen Mittwoch drei Personen schwer und zahlreiche Demonstranten leicht verletzt worden .	Insgesamt waren am vergangenen Mittwoch drei Personen schwer und insgesamt  waren  am  vergangenen  Mittwoch  zahlreiche Demonstranten leicht verletzt worden .
Es dient dem Verkauf von Kücheneinrichtungen und ist folglich wie ein Firmenprospekt aufgebaut .	Es dient dem Verkauf von Kücheneinrichtungen und es  ist folglich wie ein Firmenprospekt aufgebaut .
Die BJS wurde umbenannt , seither trägt sie ihren heutigen Namen Bharatiya Janata Party .	Die BJS wurde umbenannt , seither trägt sie ihren heutigen Namen Bharatiya Janata Party umbenannt .
Die kamen mit gefälschten Rezepten oder bedrohten sie auf dem Weg zur Tiefgarage .	Die kamen mit gefälschten Rezepten oder die  bedrohten sie auf dem Weg zur Tiefgarage .
Ich stehe vor dem Spiegel und kann das Tuch nicht mit meiner Eitelkeit vereinbaren .	Ich stehe vor dem Spiegel und ich  kann das Tuch nicht mit meiner Eitelkeit vereinbaren .
Es ist nahezu unmöglich geworden , zwischen den Interessen der Forschung und des Marktes zu unterscheiden .	Es ist nahezu unmöglich geworden zu unterscheiden , es  ist  zwischen den Interessen der Forschung und des Marktes zu unterscheiden .
Jede Woche arbeitet er mit Ursula , Ulrike und den anderen daran , sein Chaos zu besiegen .	Jede Woche arbeitet er mit Ursula , Ulrike und den anderen daran zu besiegen , sein Chaos zu besiegen .
Strauß hört wieder hin , verdichtet Gehörtes und Erhörtes zu einem impressionistischen Gegenwartspanorama .	Strauß hört wieder hin , Strauß  verdichtet Gehörtes und Erhörtes zu einem impressionistischen Gegenwartspanorama .
Sie hatte keine Papiere , erhielt keinen Lohn und schuftete tagelang , pausenlos ;	Sie hatte keine Papiere , sie  erhielt keinen Lohn und sie  schuftete tagelang , pausenlos ;
Vor allem war es ein sehr machistisches Kino , das hat sich sehr verändert .	Vor allem war es ein sehr machistisches Kino verändert , das hat sich sehr verändert .
In all diesen Filmen gibt es zärtliche Momente zwischen Männern , aber mit der Frau überhaupt nicht .	In all diesen Filmen gibt es zärtliche Momente zwischen Männern , aber mit der Frau gibt überhaupt nicht es zärtliche Momente zwischen Männern .
Männer wollen bloß saubere Konturen und geben sich mit der Rolle eines Gastes zufrieden .	Männer wollen bloß saubere Konturen und Männer  geben sich mit der Rolle eines Gastes zufrieden .
Zuerst nannte man diese Gewächse in Berufskreisen hinter vorgehaltener Hand " Borsten " , später Bürsten .	Zuerst nannte man diese Gewächse in Berufskreisen hinter vorgehaltener Hand " Borsten " , zuerst  nannte  später Bürsten .
nicht auszudenken , wenn das Flugzeug gestohlen oder irgendwelche Raritätensammler Auspuffteile abmontieren würden .	nicht auszudenken , wenn das Flugzeug gestohlen oder wenn  irgendwelche Raritätensammler Auspuffteile abmontieren würden .
Für mich ist es nicht mehr so schlimm , aber was sollen meine Söhne tun ?	Für mich ist es nicht mehr so schlimm tun , aber was sollen meine Söhne tun ?
Wer kann , flüchtet seitdem aus der Kampfzone zwischen der Provinzhauptstadt Ziguinchor und der Atlantikküste .	Wer kann seitdem aus der Kampfzone zwischen der Provinzhauptstadt Ziguinchor und der Atlantikküste , wer  flüchtet seitdem aus der Kampfzone zwischen der Provinzhauptstadt Ziguinchor und der Atlantikküste .
Die Piloten einerseits wollen eine einheitliche Tarifstruktur auf hoher Ebene und keine Lohneinbußen gegen Aktienausgabe .	Die Piloten einerseits wollen eine einheitliche Tarifstruktur auf hoher Ebene und die  Piloten  einerseits  wollen  keine Lohneinbußen gegen Aktienausgabe .
Außerdem breche die Krankheit schneller aus , weil der Körper durch Schwangerschaft und Geburt geschwächt sei .	Außerdem breche die Krankheit schneller aus geschwächt , weil der Körper durch Schwangerschaft und Geburt geschwächt sei .
Sie sitzt immer noch tapfer auf dem Beyazit-Platz vor dem Universitätstor und füttert die Tauben .	Sie sitzt immer noch tapfer auf dem Beyazit-Platz vor dem Universitätstor und sie  füttert die Tauben .
43 Prozent der Bevölkerung sind schwarz , 25 Prozent weiß , je 15 Prozent hispanisch und asiatisch .	43 Prozent der Bevölkerung sind schwarz , 25 Prozent weiß , 43  Prozent  der  Bevölkerung  sind  je 15 Prozent hispanisch und asiatisch .
Auch als Einzelerscheinung kann ich Dinge entwickeln und auf Dauer gesehen Einfluß haben .	Auch als Einzelerscheinung kann ich Dinge entwickeln und auch  als  Einzelerscheinung  kann  auf Dauer gesehen Einfluß haben .
Zumindest die Vereinigten Staaten und Australien waren vorab informiert und bekundeten ihr Einverständnis .	Zumindest die Vereinigten Staaten und Australien waren vorab informiert und zumindest  die  Vereinigten  Staaten  und  Australien  bekundeten ihr Einverständnis .
Ich würde so etwas gern machen , doch auch dafür gibt es in Amerika keinen Markt .	Ich würde so etwas gern machen , doch auch dafür gibt es in Amerika keinen Markt machen .
Mal sinkt das Humorniveau ins Bodenlose , dann werden Blicke tief in blaue Augen versenkt .	Mal sinkt das Humorniveau ins Bodenlose versenkt , dann werden Blicke tief in blaue Augen versenkt .
Sie bestehen aus Tierdärmen , gefüllt mit zerkleinerten Büchern , Wasser , Fett , Gewürzen und Gelatine .	Sie bestehen aus Tierdärmen gefüllt , sie  gefüllt mit zerkleinerten Büchern , Wasser , Fett , Gewürzen und Gelatine .
In diesem Moment war ihm Vogts' Dogma von der " sozialen Disziplin " schnurz und manches andere auch .	In diesem Moment war ihm Vogts' Dogma von der " sozialen Disziplin " schnurz und in  diesem  Moment  war  manches andere auch .
Das Gerücht ging um , sämtliche vom UNHCR Erfaßten würden deportiert und sofort erschossen .	Das Gerücht ging um , sämtliche vom UNHCR Erfaßten würden deportiert und sämtliche  vom  UNHCR  Erfaßten  würden  sofort erschossen .
In den Wahlkampf wird sein Kandidat nicht eingreifen , er bleibt bis September zu Hause .	In den Wahlkampf wird sein Kandidat nicht eingreifen , er bleibt bis September zu Hause eingreifen .
An der Ecke Oppelner verkauft die Familie Kensbock " Papier & Spiele " , seit über 30 Jahren schon .	An der Ecke Oppelner verkauft die Familie Kensbock " Papier & Spiele " , seit über 30 Jahren verkauft schon .
Und in dem Turm leben wir auf engstem Raum zusammen und spähen ins feindliche Gebiet .	Und in dem Turm leben wir auf engstem Raum zusammen und wir spähen ins feindliche Gebiet .
" Frauen und Mütter sterben , und die Welt weigert sich , davon Notiz zu nehmen " .	" Frauen und Mütter sterben sich , und die Welt weigert sich , davon Notiz zu nehmen " .
Die Brandenburger Richter zeigten erkennbar Mitgefühl und waren sich der Schwere ihres Spruches bewußt .	Die Brandenburger Richter zeigten erkennbar Mitgefühl und die  Brandenburger  Richter  waren sich der Schwere ihres Spruches bewußt .
